context_id,group_by,target_lemma,pos_tag,sentence,target_id
become.v.1,become.v,become,v,"['It', ""'s"", 'no', 'wonder', 'that', 'Wolf', 'has', 'become', 'a', 'well-paid', 'political', 'consultant', '.']",7
become.v.2,become.v,become,v,"['Analysts', 'speculate', 'Kaiser', ""'s"", 'decision', 'will', 'accelerate', 'a', 'race', 'by', 'insurers', 'to', 'avoid', 'becoming', 'havens', 'for', 'impotent', 'men', '.']",13
become.v.3,become.v,become,v,"['Lake', 'has', 'two', 'problems', ':', '1', ')', 'his', '(', 'inadvertent', ',', 'he', 'says', ')', 'failure', 'to', 'sell', 'some', 'energy', 'stocks', 'in', '1993', ',', 'when', 'he', 'became', 'national', 'security', 'adviser', ';', 'and', '2', ')', 'Republican', 'alarm', 'that', 'he', 'might', 'be', 'a', 'dangerous', 'lefty', ',', 'based', 'on', 'his', '1970', 'resignation', 'from', 'the', 'National', 'Security', 'Council', 'over', 'Nixon', ""'s"", 'invasion', 'of', 'Cambodia', ',', 'and', 'on', 'his', 'more', 'recent', 'refusal', 'to', 'confirm', 'that', 'Alger', 'Hiss', 'was', 'a', 'staff', 'Soviet', 'spy', '.']",25
become.v.4,become.v,become,v,"['John', 'Longhouser', ',', 'head', 'of', 'the', 'Aberdeen', 'Proving', 'Ground', ',', 'retired', 'after', 'an', 'affair', 'he', 'had', 'had', 'five', 'years', 'ago', 'became', 'public', 'knowledge', '.']",20
become.v.5,become.v,become,v,"[',', 'have', 'become', 'such', 'tasteless', 'parodies', 'of', 'politicians', 'that', 'I', 'was', 'doubting', 'whether', 'I', 'could', 'pull', 'the', 'lever', 'for', 'Hill', '.']",2
become.v.6,become.v,become,v,"['In', 'any', 'case', ',', 'there', 'certainly', 'is', 'no', 'lack', 'of', 'information', 'available', 'about', 'the', 'moguls', 'of', 'technology', 'now', 'as', 'they', 'all', 'become', 'our', 'current', 'pop', 'icons', '.']",21
become.v.7,become.v,become,v,"['With', 'a', '50', 'percent', 'divorce', 'rate', 'in', 'America', 'and', '3', 'out', 'of', '10', 'households', 'run', 'by', 'a', 'single', 'parent', '(', 'three', 'times', 'as', 'many', 'as', 'two', 'decades', 'ago', ')', ',', 'Once', 'and', 'Again', 'seems', 'poised', 'to', 'become', 'for', 'joint', 'custody', 'what', 'Thirtysomething', 'was', 'for', 'yuppie', 'angst', '.']",36
become.v.8,become.v,become,v,"['The', 'WTO', ""'s"", 'advocates', ',', 'belatedly', 'realizing', 'that', 'it', 'has', 'become', 'a', 'political', 'target', ',', 'are', 'beginning', 'to', 'counter', 'the', 'principal', 'spins', 'against', 'the', 'organization', '.']",10
become.v.9,become.v,become,v,"['With', 'most', 'plants', 'needing', 'to', 'install', 'control', 'equipment', 'to', 'meet', 'these', 'requirements', ',', 'it', 'is', 'likely', 'that', 'this', 'approach', 'would', 'lead', 'to', 'installation', 'of', 'controls', 'that', 'become', 'obsolete', 'and', 'stranded', 'capital', 'investments', 'as', 'additional', 'requirements', 'are', 'promulgated', '.']",26
become.v.10,become.v,become,v,"['It', 'was', 'when', 'I', 'was', 'a', 'high-school', 'student', 'that', 'I', 'became', 'convinced', 'of', 'this', 'fact', 'for', 'the', 'first', 'time', '.']",10
become.v.11,become.v,become,v,"['As', 'he', 'was', 'an', 'author', 'and', 'a', 'public', 'figure', 'who', 'corresponded', 'with', 'a', 'wide', 'circle', 'of', 'literary', 'and', 'artistic', 'friends', 'throughout', 'Europe', ',', 'the', 'Gothic', 'design', 'of', 'Strawberry', 'Hill', 'became', 'famous', 'among', 'connoisseurs', '.']",29
become.v.12,become.v,become,v,"['and', 'in', 'thirty', 'years', 'it', 'becomes', 'pretty', 'critical', 'i', 'mean', 'my', 'um', 'brother-in-law', 'is', 'like', 'um', 'i', 'mean', 'he', ""'s"", 'sixty', 'he', ""'s"", 'not', 'ready', 'to', 'retire', 'but', 'his', 'company', 'is', 'is', 'closing', 'is', 'um', 'is', 'uh', 'closing', 'up']",5
become.v.13,become.v,become,v,"['well', 'we', 'in', 'in', 'in', 'our', 'family', 'have', 'been', 'pretty', 'remiss', 'in', 'trying', 'to', 'uh', 'you', 'know', 'keep', 'track', 'of', 'uh', 'daily', 'finances', 'uh', 'the', 'uh', 'way', 'way', 'back', 'what', 'twelve', 'years', 'ago', 'or', 'something', 'when', 'i', 'got', 'my', 'first', 'computer', 'i', 'did', 'what', 'everybody', 'else', 'does', 'which', 'is', 'to', 'put', 'the', 'whole', 'family', 'budget', 'on', 'the', 'machine', 'and', 'put', 'checks', 'and', 'you', 'know', 'checkbooks', 'and', 'all', 'those', 'kind', 'of', 'thing', 'and', 'we', 'kept', 'that', 'going', 'for', 'about', 'a', 'month', 'and', 'it', 'became', 'so', 'onerous', 'that', 'we', 'gave', 'up', 'on', 'it']",82
become.v.14,become.v,become,v,"['In', 'this', 'way', 'pachuquesmo', ',', 'a', 'Mexican', 'subculture', ',', 'became', 'known', 'throughout', 'the', 'Southwest', '.']",9
become.v.15,become.v,become,v,"['Speed', 'of', 'delivery', 'has', 'increasingly', 'become', 'part', 'of', 'the', 'competitive', 'equation', '.']",5
become.v.16,become.v,become,v,"['Hang', 'around', 'any', 'schoolyard', 'in', 'Germany', 'or', 'college', 'campus', 'in', 'Indonesia', 'and', 'it', 'becomes', 'clear', 'that', 'the', 'recording', 'industry', ""'s"", 'problems', 'with', 'the', 'illegal', 'online', 'distribution', 'of', 'music', 'in', 'the', 'United', 'States', 'pale', 'beside', 'the', 'rampant', 'piracy', 'that', 'goes', 'on', 'overseas', '.']",13
become.v.17,become.v,become,v,"['well', 'and', 'do', ""n't"", 'you', 'think', 'that', 'you', 'do', 'see', 'more', 'women', 'who', 'are', 'um', 'becoming', 'part', 'of', 'middle', 'management']",15
become.v.18,become.v,become,v,"['yeah', 'and', 'they', 'should', 'give', 'every', 'teacher', 'a', 'a', 'hundred', 'percent', 'raise', 'that', 'that', ""'s"", 'the', 'problem', 'is', 'the', 'teachers', 'do', ""n't"", 'get', 'enough', 'money', 'and', 'anybody', 'who', 'could', 'be', 'a', 'good', 'teacher', 'does', ""n't"", 'want', 'to', 'become', 'a', 'teacher', 'usually', 'because', 'they', 'do', ""n't"", 'pay', 'enough', 'i', 'mean', 'when', 'i', 'was', 'in', 'college', 'i', 'did', 'a', 'lot', 'of', 'teaching', 'uh', 'for', 'my', 'degree', 'and', 'uh', 'i', 'got', 'a', 'lot', 'of', 'good', 'out', 'of', 'that', 'and', 'i', 'liked', 'teaching', 'but', 'i', 'really', 'could', ""n't"", 'go', 'into', 'teaching', 'because', 'it', 'was', 'not', 'economically', 'feasible', 'for', 'me', 'to', 'do', 'so']",37
become.v.19,become.v,become,v,"['However', 'clear', 'and', 'meaningful', 'the', 'definition', 'of', 'a', 'case', 'may', 'have', 'been', 'in', 'the', 'past', ',', 'it', 'became', 'evident', 'the', 'definition', 'had', 'not', 'kept', 'pace', 'with', 'the', 'changes', 'in', 'the', 'service', 'delivery', 'systems', '.']",17
become.v.20,become.v,become,v,"['But', 'if', 'the', 'recipient', 'is', 'an', 'autonomous', 'agent', 'such', 'as', 'a', 'bacterium', 'and', 'the', 'incoming', 'molecule', 'is', 'a', 'symbol-sign', 'of', 'a', 'paramecium', 'or', 'an', 'amoeba', 'on', 'the', 'roam', 'and', 'the', 'bacterium', 'swims', 'away', 'and', 'avoids', 'becoming', 'dinner', ',', 'that', 'sequence', 'of', 'events', 'seems', 'laden', 'with', 'semantics', '.']",35
become.v.21,become.v,become,v,"['To', 'make', 'a', 'long', 'story', 'short', ',', 'she', 'has', 'lied', 'about', 'multiple', 'things', 'since', 'I', 'became', 'friends', 'with', 'her', '.']",15
become.v.22,become.v,become,v,"['And', 'although', 'we', 'did', 'not', 'until', 'now', 'think', 'of', 'this', 'secular', 'prayer', 'as', 'the', 'preamble', 'to', 'a', 'new', 'order', 'of', 'nationhood', ',', 'equality', ',', 'and', 'democracy', ',', 'that', 'is', 'what', 'they', 'became', '.']",31
become.v.23,become.v,become,v,"['Someone', 'will', 'have', 'a', 'great', 'incentive', 'to', 'sell', 'speedy', 'access', ',', 'as', 'free', 'access', 'becomes', 'slower', ',', 'and', 'find', 'a', 'way', 'to', 'do', 'it', '.']",14
become.v.24,become.v,become,v,"['Most', 'are', 'simply', 'battle-fatigued', 'and', 'judgment-impaired', ',', 'trapped', 'in', 'what', 'has', 'become', 'a', 'journalistic', 'dead', 'end', ',', 'an', 'untenable', 'profession', '.']",11
become.v.25,become.v,become,v,"['Anything', 'with', 'a', 'hint', 'of', 'swollen', 'bud', 'became', 'my', 'prey', '.']",7
become.v.26,become.v,become,v,"['What', 'contemporary', 'travel', 'needs', 'to', 'become', 'truly', 'convenient', 'are', 'updated', 'versions', 'of', 'Homeric', 'households', '.']",5
become.v.27,become.v,become,v,"['The', 'better', 'known', 'he', 'became', ',', 'the', 'more', 'he', 'burrowed', 'into', 'Cookham', 'backyards', 'and', 'bedrooms', '.']",4
become.v.28,become.v,become,v,"['Meanwhile', ',', 'La', 'Brea', '(', 'the', 'blocks', 'between', 'Wilshire', 'and', 'Melrose', ')', 'and', 'Beverly', 'Boulevard', '(', 'between', 'La', 'Brea', 'and', 'Curson', ')', 'have', 'become', 'destinations', 'for', 'the', 'stylish', 'locals', 'who', 'are', 'too', 'old', 'for', 'Melrose', 'fashion', 'and', 'too', 'hip', 'for', 'Rodeo', '.']",23
become.v.29,become.v,become,v,"['Since', 'then', ',', 'a', 'mass', 'of', 'apartment', 'blocks', 'and', 'hotels', 'has', 'sprung', 'up', 'and', 'the', 'town', 'has', 'become', 'known', 'as', 'an', 'international', 'fun', 'city', '.']",17
become.v.30,become.v,become,v,"['Lockheed', ""'s"", 'reputation', 'was', 'really', 'made', 'during', 'World', 'War', 'II', ',', 'when', 'the', 'company', 'built', 'both', 'the', 'C-69', 'Constellation', 'transport', '(', 'which', 'became', 'the', 'standard', 'for', 'civil', 'airlines', 'in', 'the', 'immediate', 'post-war', 'period', ')', 'and', ',', 'more', 'impressively', ',', 'the', 'P-38', 'Lightning', 'fighter', '.']",22
become.v.31,become.v,become,v,"['Wright', ""'s"", 'successful', 'petition', 'to', 'Clinton', 'for', 'a', 'better', 'grade', 'became', ',', 'in', 'Dan', 'Rather', ""'s"", 'words', ',', 'an', 'illustration', 'of', 'her', '``', 'long', ',', 'often', 'unfriendly', ',', 'history', 'with', 'Bill', 'Clinton', '.', ""''""]",10
become.v.32,become.v,become,v,"['A', '7-year-old', 'Queens', ',', 'N.Y.', ',', 'boy', 'is', 'charged', 'with', 'sexual', 'harassment', 'and', 'suspended', 'from', 'the', 'second', 'grade', 'for', 'kissing', 'a', 'female', 'classmate', ';', 'within', 'a', 'week', ',', 'his', 'picture', 'is', 'on', 'the', 'front', 'page', 'of', 'the', 'New', 'York', 'Times', '.', 'A', 'similar', 'incident', 'involving', 'a', '6-year-old', 'schoolboy', 'in', 'North', 'Carolina', 'becomes', 'a', 'national', 'scandal', '.']",51
become.v.33,become.v,become,v,"['But', 'he', 'then', 'becomes', 'a', 'contestant', ',', 'competing', 'with', 'the', 'more', 'successful', 'guests', '.']",3
become.v.34,become.v,become,v,"['It', 'quoted', 'a', 'lawyer', '``', 'familiar', 'with', 'the', 'negotiations', ""''"", 'as', 'saying', 'there', 'was', 'a', 'Secret', 'Service', 'agent', 'who', 'had', 'seen', 'Clinton', 'and', 'Lewinsky', 'in', 'a', '``', 'compromising', 'situation', ""''"", 'and', 'that', 'he', 'had', 'become', 'a', 'government', 'witness', '.']",34
become.v.35,become.v,become,v,"['And', 'an', 'astonishing', 'number', 'of', 'them', 'are', 'already', 'engaged', 'in', 'all-but-official', 'campaigns', ',', 'desperate', 'quests', 'to', 'become', 'an', '``', 'early', 'favorite', '.', ""''""]",16
become.v.36,become.v,become,v,"['(', 'His', 'friends', 'have', 'boasted', 'that', 'without', 'Milliken', ',', 'Ronald', 'Reagan', 'would', 'not', 'have', 'become', 'president', '.', ')']",14
become.v.37,become.v,become,v,"['He', 'did', 'well', 'in', 'school', 'and', 'became', 'enthusiastically', 'involved', 'in', 'several', 'activities', '.']",6
become.v.38,become.v,become,v,"['Her', 'husband', 'could', ""n't"", 'have', 'been', 'more', 'understanding', ',', 'but', 'his', 'wife', ""'s"", 'emotionalism', 'was', 'so', 'impervious', 'to', 'logic', 'it', 'became', 'disturbing', '.']",20
become.v.39,become.v,become,v,"['He', 'noted', 'that', 'many', 'practices', 'that', 'do', 'not', 'have', 'efficacy', 'or', 'effectiveness', 'studies', 'behind', 'them', 'are', 'adopted', 'and', 'become', 'guidelines', 'for', 'standard', 'practice', '.']",18
become.v.40,become.v,become,v,"['Um', ',', 'well', ',', 'do', 'you', 'think', 'it', 'also', 'helped', 'when', 'you', 'became', 'a', 'parent', 'that', 'you', 'naturally', 'wanted', 'to', 'read', 'to', 'your', 'kids', '?']",12
become.v.41,become.v,become,v,"['We', 'have', 'admired', 'their', 'determination', 'to', 'do', 'their', 'best', 'to', 'prevent', 'another', 'tragedy', 'while', 'preparing', 'to', 'respond', 'if', 'it', 'becomes', 'necessary', '.']",19
become.v.42,become.v,become,v,"['Wolf', ',', 'whose', '$', '15,000', 'per', 'month', 'retainer', 'was', 'just', 'cut', 'to', '$', '5,000', ',', 'urged', 'Gore', 'to', 'condemn', 'President', 'Clinton', 'for', 'his', 'sexual', 'foibles', 'and', 'to', 'become', 'an', '``', 'alpha', 'male', '.', ""''""]",27
become.v.43,become.v,become,v,"['They', 'can', 'drop', 'out', 'of', 'the', 'entire', 'rat', 'race', 'and', 'become', 'folk', 'singers', 'or', 'something', ',', 'or', 'they', 'can', 'belly', 'up', 'to', 'the', 'bar', 'and', 'play', 'in', 'the', 'real', 'world', 'where', 'money', 'is', 'generally', 'the', 'accepted', 'way', 'we', 'keep', 'score', '.']",10
become.v.44,become.v,become,v,"['The', 'issue', 'will', 'become', 'more', 'pressing', 'as', 'an', 'estimated', '40,000', 'to', '50,000', 'Chinese', ',', 'mostly', 'unskilled', ',', 'come', 'to', 'settle', 'each', 'year', '.']",3
become.v.45,become.v,become,v,"['None', 'other', 'than', 'Dick', 'Morris', 'complains', 'in', 'the', 'Weekly', 'Standard', 'that', 'the', 'book', '``', 'becomes', 'a', 'porn', 'novel', ',', ""''"", 'with', 'its', 'heavy', 'focus', 'on', 'presidential', 'sex', '.']",14
become.v.46,become.v,become,v,"['The', 'Washington', 'Post', 'groaned', 'that', 'the', 'TWA', 'mystery', '``', 'has', 'become', 'the', 'aviation', 'equivalent', 'of', 'the', 'Kennedy', 'assassination', ""''"", '--', 'i.e', '.']",10
become.v.47,become.v,become,v,"['Also', ',', 'an', 'English', 'professor', 'writes', 'about', 'getting', 'fired', 'and', 'becoming', 'a', 'carpenter', '.']",10
become.v.48,become.v,become,v,"['Pop', 'culture', 'prediction', ':', 'British', 'military', 'clothing', 'will', 'become', 'hot', ',', 'hot', ',', 'hot', 'on', 'the', 'streets', 'of', 'San', 'Francisco', ',', 'the', 'Village', ',', 'and', 'West', 'Hollywood', '.']",8
become.v.49,become.v,become,v,"['But', 'there', 'is', 'one', 'remarkable', 'statistic', '(', 'which', 'itself', 'is', 'difficult', 'to', 'explain', ')', ':', 'Since', 'the', 'middle', 'of', 'last', 'year', ',', 'the', 'falling', 'unemployment', 'rate', 'has', 'become', 'decoupled', 'from', 'wage', 'increases', '.']",27
become.v.50,become.v,become,v,"['But', 'even', 'if', 'you', 'have', ""n't"", 'noticed', 'Dreamcast', 'before', 'today', ',', 'it', ""'s"", 'a', 'safe', 'bet', 'that', 'over', 'the', 'next', 'few', 'months', 'the', 'product', 'is', 'going', 'to', 'become', 'inescapable', ',', 'since', 'Sega', 'is', 'in', 'the', 'process', 'of', 'spending', 'tens', 'of', 'millions', 'of', 'dollars', 'on', 'an', 'elaborate', 'marketing', 'campaign', 'that', 'includes', ',', 'among', 'other', 'things', ',', 'sponsoring', 'tonight', ""'s"", 'MTV', 'Video', 'Music', 'Awards', '.']",27
become.v.51,become.v,become,v,"['There', 'was', 'endless', 'hype', 'for', 'the', 'premiere', 'of', 'Felicity', ""'s"", 'second', 'season', '--', 'tapes', 'of', 'which', 'had', 'been', 'withheld', 'from', 'the', 'press', '--', 'because', 'it', 'was', 'to', 'provide', 'the', 'answer', 'to', 'last', 'season', ""'s"", 'Perils', 'of', 'Pauline', '-like', 'cliffhanger', ':', 'Would', 'the', 'New', 'York', 'City', 'college', 'freshman', 'Felicity', 'fly', 'to', 'Berlin', 'with', 'her', 'handsome', 'and', 'intelligent', 'though', 'overly', 'chatty', 'boyfriend', 'Noel', 'or', 'drive', 'home', 'to', 'California', 'with', 'the', 'exceedingly', 'handsome', 'but', 'markedly', 'less', 'intelligent', 'Ben', ',', 'an', 'ex-crush', 'who', 'had', 'become', 'her', 'best', 'friend', ""'s"", 'boyfriend', '?']",80
become.v.52,become.v,become,v,"['But', 'I', 'have', 'recently', 'become', 'a', 'parent', 'and', 'wonder', 'how', 'I', 'should', 'react', 'to', 'this', 'type', 'of', 'situation', 'if', 'I', 'were', 'with', 'an', 'inquisitive', 'child', '.']",4
become.v.53,become.v,become,v,"['Repeat', 'this', 'a', 'number', 'of', 'times', ',', 'even', 'from', 'day', 'to', 'night', 'and', 'back', ',', 'and', 'the', 'pile', 'becomes', 'more', 'and', 'more', 'unstable', 'until', 'possibly', 'one', 'cold', 'spell', 'causes', 'collapse', '.']",18
become.v.54,become.v,become,v,"['that', ""'s"", 'right', 'and', 'and', 'it', ""'s"", 'a', 'terrible', 'thing', 'to', 'do', 'uh', 'and', 'the', 'world', 'our', 'world', 'seems', 'to', 'become', 'more', 'and', 'more', 'violent', 'all', 'the', 'time', 'by', 'the', 'way', 'i', ""'m"", 'a', 'public', 'school', 'administrator', 'so']",20
become.v.55,become.v,become,v,"['oh', 'well', 'right', 'now', 'i', ""'m"", 'trying', 'to', 'keep', 'abreast', 'of', 'uh', 'what', ""'s"", 'going', 'on', 'in', 'Europe', 'you', 'know', 'with', 'all', 'the', 'uh', 'USSR', ""'s"", 'satellites', 'breaking', 'off', 'and', 'trying', 'to', 'become', 'independent', 'and', 'then', 'you', 'know', 'European', 'community', 'coming', 'together']",32
become.v.56,become.v,become,v,"['Many', 'African', 'Americans', 'wore', 'an', 'extravagant', 'style', 'of', 'clothing', ',', 'the', 'baggy', 'pegged', 'pants', 'and', 'jackets', 'with', 'padded', 'shoulders', ',', 'that', 'later', 'became', 'known', 'as', 'the', 'zoot', 'suit', '.']",22
become.v.57,become.v,become,v,"['uh', 'we', 'had', 'bought', 'really', 'it', 'it', ""'s"", 'it', ""'s"", 'uh', 'it', ""'s"", 'just', 'beautiful', 'i', 'just', 'i', 'would', 'be', 'very', 'happy', 'staying', 'in', 'Hawaii', 'and', 'becoming', 'a', 'beachcomber', 'when', 'i', 'retire', 'which', 'is', ""n't"", 'too', 'far', 'off', 'which', 'is', 'something', 'i', 'might', 'wan', 'na', 'consider', 'but', 'uh']",26
become.v.58,become.v,become,v,"['If', 'the', 'tension', 'on', 'the', 'top', 'and', 'bottom', 'thread', 'is', 'too', 'high', ',', 'the', 'seam', 'puckers', 'and', 'the', 'seam', 'length', 'becomes', 'less', 'than', 'that', 'of', 'the', 'cloth', '.']",20
become.v.59,become.v,become,v,"['The', 'US', 'has', 'become', 'the', 'new', '1000', 'year', 'Reich', 'and', 'wants', 'to', 'annex', 'Iraq', ',', 'Iran', ',', 'Korea', ',', 'everything', '.']",3
become.v.60,become.v,become,v,"['i', 'think', 'that', 'for', 'so', 'many', 'people', 'that', 'uh', 'the', 'nursing', 'home', 'represent', 'obviously', 'different', 'uh', 'different', 'things', 'and', 'depending', 'on', 'the', 'level', 'of', 'function', 'whereas', 'my', 'you', 'know', 'my', 'grandmother', 'does', ""n't"", 'need', 'need', 'any', 'extra', 'uh', 'camaraderie', 'or', 'anything', 'like', 'that', 'because', 'she', 'gets', 'it', 'from', 'her', 'church', 'or', 'from', 'her', 'friends', 'that', 'come', 'by', 'but', 'uh', 'i', ""'ve"", 'seen', 'a', 'lot', 'of', 'people', 'that', 'do', ""n't"", 'live', 'near', 'their', 'family', 'or', 'do', ""n't"", 'have', 'you', 'know', 'significant', 'roots', 'in', 'this', 'in', 'their', 'little', 'community', 'they', ""'ve"", 'been', 'uprooted', 'for', 'some', 'reason', 'or', 'another', 'and', 'they', 'i', 'i', 'think', 'that', 'it', 'would', 'be', 'good', 'for', 'them', 'to', 'be', 'into', 'a', 'situation', 'that', 'would', 'offer', 'them', 'uh', 'oh', 'activities', 'to', 'maintain', 'an', 'active', 'mind', 'because', 'like', 'you', 'say', 'if', 'you', 'just', 'put', 'them', 'in', 'the', 'house', 'and', 'keep', 'them', 'there', 'all', 'day', 'long', 'and', 'they', 'they', 'become', 'they', 'vegetate', 'and', 'that', ""'s""]",147
become.v.61,become.v,become,v,"['and', 'even', 'then', 'you', 'know', 'we', ""'re"", 'really', 'running', 'out', 'of', 'space', 'so', 'i', 'think', 'that', 'that', 'became', 'that', 'all', 'of', 'a', 'sudden', 'really', 'hit', 'home', 'that', 'there', ""'s"", 'no', 'longer', 'landfill', 'space', 'in', 'some', 'of', 'the', 'more', 'crowded', 'states']",17
become.v.62,become.v,become,v,"['you', 'know', 'and', 'i', ""'ve"", 'heard', 'people', 'say', 'well', 'you', 'know', 'it', ""'s"", 'just', 'like', 'the', 'American', 'Civil', 'War', 'will', 'there', 'be', 'a', 'union', 'or', 'not', 'well', 'no', 'it', ""'s"", 'not', 'the', 'same', 'sort', 'of', 'a', 'thing', 'at', 'all', 'because', 'that', 'the', 'whole', 'Soviet', 'system', 'was', 'put', 'together', 'under', 'total', 'force', 'you', 'know', 'there', 'was', 'no', 'as', 'as', 'we', 'are', 'seeing', 'now', 'with', 'a', 'lot', 'of', 'those', 'areas', 'wanting', 'out', 'of', 'it', 'you', 'know', 'they', 'uh', 'nobody', 'voted', 'you', 'know', 'a', 'lot', 'man', 'those', 'people', 'did', ""n't"", 'vote', 'to', 'become', 'part', 'of', 'the', 'Soviet', 'Union', 'they', 'had', 'no', 'choice']",89
become.v.63,become.v,become,v,"['yeah', 'my', 'mother', 'has', 'made', 'similar', 'statements', 'that', 'she', 'does', ""n't"", 'want', 'to', 'become', 'a', 'burden', 'to', 'the', 'family', 'you', 'know', 'just', 'put', 'me', 'out', 'to', 'pasture', 'or', 'shoot', 'me', 'or', 'something', 'you', 'know', 'there', 'are', 'the', 'lines', 'that', 'come', 'from', 'her', 'and', 'uh']",13
